name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Jakarta,2023-01-16,31.7,25,28.3,37,25,30.8,23.2,75.2,0,0,0,,0,0,29.5,27.7,268.8,1008.4,49.1,6.8,233.6,20.1,8,10,2023-01-16T05:49:10,2023-01-16T18:15:23,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-17,28.8,25,26.9,32.8,25,29,23.7,83,0,0,0,rain,0,0,31,16.5,292.8,1010.3,59.4,6.6,158,13.7,6,10,2023-01-17T05:49:37,2023-01-17T18:15:37,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-18,30.3,24,27.1,34.5,24,29.4,23.6,81.6,0.02,100,4.17,rain,0,0,23,23.6,275.9,1010.3,63.9,5.4,151.3,13.1,6,10,2023-01-18T05:50:02,2023-01-18T18:15:50,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-19,30,25,27.2,35.7,25,29.9,24.1,83.7,3.503,100,16.67,rain,0,0,25.6,20.3,297.2,1010.3,62.3,6.1,160.2,13.9,6,10,2023-01-19T05:50:28,2023-01-19T18:16:03,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-20,32,25,27.8,36.5,25,30,23.4,78.3,0.042,100,4.17,rain,0,0,30.6,18.4,264.5,1009.4,54.1,6.9,218.1,18.9,8,10,2023-01-20T05:50:53,2023-01-20T18:16:15,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-21,31.6,25,27.8,37.7,25,30.7,23.7,78.6,0.024,100,4.17,rain,0,0,32.8,22.3,287.2,1008.3,52.2,7.3,234.6,20.2,8,10,2023-01-21T05:51:17,2023-01-21T18:16:26,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-01-22,33,24,28.1,39.2,24,31.3,23.8,78.4,0.4,100,4.17,rain,0,0,35.6,25.9,263.7,1007.4,55.6,7.7,173.8,15.1,8,10,2023-01-22T05:51:40,2023-01-22T18:16:36,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-01-23,31.6,25,28.1,37.7,25,31,23.6,77.3,0.003,100,12.5,rain,0,0,35.6,25.9,265.2,1006.9,62.7,7.8,174.8,14.9,7,10,2023-01-23T05:52:04,2023-01-23T18:16:45,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-01-24,33.3,25,28.3,37.8,25,31.1,23.7,77.5,0.007,100,12.5,rain,0,0,38.2,29.4,264.4,1006.9,54.4,7.1,224,19.4,8,10,2023-01-24T05:52:26,2023-01-24T18:16:53,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-25,29,24,26.3,31.6,24,27.3,23.1,82.9,0.032,100,12.5,rain,0,0,43.9,34.2,257.6,1007.6,62.6,6.9,111.3,9.7,4,10,2023-01-25T05:52:48,2023-01-25T18:17:00,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-26,31.7,25,27.6,37.4,25,30.8,24.1,82,26.934,100,12.5,rain,0,0,27,16.6,283.6,1007.8,60.5,6.5,195.9,17,7,10,2023-01-26T05:53:09,2023-01-26T18:17:06,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-27,29,25,27.2,34.5,25,29.7,24.3,84.8,0.181,100,16.67,rain,0,0,32,20.5,306.8,1007.3,70.7,6.6,206.2,17.9,8,10,2023-01-27T05:53:30,2023-01-27T18:17:11,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-28,27.6,24,25.6,31.4,24,26.9,24.5,93.8,42.766,100,25,rain,0,0,26.6,13,267.9,1006.8,73.2,5.3,144,12.3,6,10,2023-01-28T05:53:49,2023-01-28T18:17:15,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-01-29,29,25,27.1,34.5,25,29.9,24.6,86.6,10.779,100,12.5,rain,0,0,31.7,29.5,311.2,1007.6,71.9,6.3,106.1,9.1,5,10,2023-01-29T05:54:09,2023-01-29T18:17:19,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
Jakarta,2023-01-30,31,25,27.9,35.5,25,30.6,23.7,78.6,0.009,100,12.5,rain,0,0,29.2,18.6,299.1,1008.7,61.4,6.3,227.7,19.8,8,30,2023-01-30T05:54:27,2023-01-30T18:17:21,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-01-31,29.7,26,27.5,35.3,26,30.8,24.2,82.4,0.013,100,8.33,rain,0,0,33.1,15.7,284.7,1008.1,57,6.1,226.4,19.7,9,10,2023-01-31T05:54:45,2023-01-31T18:17:22,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-01,29.7,24.7,26.8,35,24.7,29.1,24.7,88.4,62.682,100,12.5,rain,0,0,36.4,14.2,288.8,1007.9,69.6,6,192.9,16.9,9,10,2023-02-01T05:55:02,2023-02-01T18:17:23,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-02,29.7,24,26.8,35.6,24,29.2,24.6,88.3,0.781,100,4.17,rain,0,0,32,14.8,330.6,1008.3,58.5,5.6,132.1,11.4,4,10,2023-02-02T05:55:18,2023-02-02T18:17:22,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
Jakarta,2023-02-03,30.7,23,26.6,35.4,23,28.4,23.7,85.2,0.598,100,8.33,rain,0,0,34.6,16.6,282.5,1008.1,61.5,5.6,141.2,12,7,10,2023-02-03T05:55:34,2023-02-03T18:17:21,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
